stateCode,stateName,localBodyCode,localBodyName,localBodyType,districtCode,districtName,status
2,Himachal Pradesh,248240,Arki,Town Panchayat,24.0,Sirmaur,FULL MATCH
2,Himachal Pradesh,248241,Nalagarh,Municipality,24.0,Sirmaur,FULL MATCH
2,Himachal Pradesh,248242,Baddi,Municipality,24.0,Sirmaur,FULL MATCH
2,Himachal Pradesh,248243,Parwanoo,Municipality,24.0,Sirmaur,FULL MATCH
2,Himachal Pradesh,248244,Solan,Municipal Corporations,24.0,Sirmaur,FULL MATCH
2,Himachal Pradesh,248043,Nahan,Municipality,25.0,Solan,FULL MATCH
2,Himachal Pradesh,248045,Paonta Sahib,Municipality,25.0,Solan,FULL MATCH
2,Himachal Pradesh,248240,Arki,Town Panchayat,25.0,Solan,FULL MATCH
2,Himachal Pradesh,248241,Nalagarh,Municipality,25.0,Solan,FULL MATCH
2,Himachal Pradesh,248242,Baddi,Municipality,25.0,Solan,FULL MATCH
2,Himachal Pradesh,248243,Parwanoo,Municipality,25.0,Solan,FULL MATCH
2,Himachal Pradesh,248244,Solan,Municipal Corporations,25.0,Solan,FULL MATCH
2,Himachal Pradesh,297010,Kandaghat,Town Panchayat,25.0,Solan,FULL MATCH
2,Himachal Pradesh,248231,Daulatpur,Town Panchayat,26.0,Una,FULL MATCH
2,Himachal Pradesh,248232,Gagret,Town Panchayat,26.0,Una,FULL MATCH
2,Himachal Pradesh,248233,Una,Municipality,26.0,Una,FULL MATCH
2,Himachal Pradesh,248234,Mehatpur Basdehra,Municipality,26.0,Una,FULL MATCH
2,Himachal Pradesh,248235,Santokhgarh,Municipality,26.0,Una,FULL MATCH
2,Himachal Pradesh,276639,Tahliwal,Town Panchayat,26.0,Una,FULL MATCH
2,Himachal Pradesh,297009,Amb,Town Panchayat,26.0,Una,FULL MATCH
3,Punjab,248268,Ramdas,Town Panchayat,27.0,Amritsar,FULL MATCH
3,Punjab,248269,Ajnala,Municipality,27.0,Amritsar,FULL MATCH
3,Punjab,248270,Raja Sansi,Town Panchayat,27.0,Amritsar,FULL MATCH
3,Punjab,248271,Majitha,Town Panchayat,27.0,Amritsar,FULL MATCH
3,Punjab,248272,Jandiala Guru,Municipality,27.0,Amritsar,FULL MATCH
3,Punjab,248273,Amritsar,Municipal Corporations,27.0,Amritsar,FULL MATCH
3,Punjab,248274,Tarn-Taran,Municipality,27.0,Amritsar,FULL MATCH
3,Punjab,248276,Khemkaran,Town Panchayat,27.0,Amritsar,FULL MATCH
3,Punjab,299457,Baba Bakala,Town Panchayat,27.0,Amritsar,FULL MATCH
3,Punjab,248363,Rampura Phul,Municipality,28.0,Bathinda,FULL MATCH
