localBodyCode,localBodyName,stateCode,stateName,lb_pincodes,total_lb_pincodes,num_candidate_districts,candidate_districts,overlap_percentages,top_districtCode,top_districtName,top_overlap_%,2nd_districtCode,2nd_districtName,2nd_overlap_%,disparity_value,disparity_category,unmatched_pin_count,unmatched_pincodes
272915,Anthur,32,Kerala,"[670563, 682301, 682304, 683104]",4,2,555:Ernakulam(50.0%) | 557:Kannur(25.0%),"{555: 50.0, 557: 25.0}",555,Ernakulam,50.0,557.0,Kannur,25.0,25.0,MODERATE DISPARITY,1,[683104]
263007,Itawa,8,Rajasthan,"[313325, 325204, 328024, 328027]",4,4,98:Dholpur(50.0%) | 109:Kota(25.0%) | 112:Rajsamand(25.0%) | 117:Udaipur(25.0%),"{98: 50.0, 109: 25.0, 112: 25.0, 117: 25.0}",98,Dholpur,50.0,109.0,Kota,25.0,25.0,MODERATE DISPARITY,0,
263008,Roopbas,8,Rajasthan,"[313325, 321404, 328024, 328027]",4,4,98:Dholpur(50.0%) | 91:Bharatpur(25.0%) | 112:Rajsamand(25.0%) | 117:Udaipur(25.0%),"{98: 50.0, 91: 25.0, 112: 25.0, 117: 25.0}",98,Dholpur,50.0,91.0,Bharatpur,25.0,25.0,MODERATE DISPARITY,0,
265437,Parsa Bazar,10,Bihar,"[804453, 841219]",2,2,212:Patna(50.0%) | 218:Saran(50.0%),"{212: 50.0, 218: 50.0}",212,Patna,50.0,218.0,Saran,50.0,0.0,LOW DISPARITY,0,
266073,Kalamb Nagar Panchayat,27,Maharashtra,"[413507, 445401]",2,2,488:Dharashiv(50.0%) | 500:Yavatmal(50.0%),"{488: 50.0, 500: 50.0}",488,Dharashiv,50.0,500.0,Yavatmal,50.0,0.0,LOW DISPARITY,0,
272880,Harippad,32,Kerala,"[682301, 682304, 683104, 690514]",4,2,555:Ernakulam(50.0%) | 554:Alappuzha(25.0%),"{555: 50.0, 554: 25.0}",555,Ernakulam,50.0,554.0,Alappuzha,25.0,25.0,MODERATE DISPARITY,1,[683104]
248747,Ladnu,8,Rajasthan,"[313325, 328024, 328027, 341306]",4,4,98:Dholpur(50.0%) | 112:Rajsamand(25.0%) | 117:Udaipur(25.0%) | 768:Didwana-Kuchaman(25.0%),"{98: 50.0, 112: 25.0, 117: 25.0, 768: 25.0}",98,Dholpur,50.0,112.0,Rajsamand,25.0,25.0,MODERATE DISPARITY,0,
248751,Mundwa,8,Rajasthan,"[313325, 328024, 328027, 341026]",4,4,98:Dholpur(50.0%) | 110:Nagaur(25.0%) | 112:Rajsamand(25.0%) | 117:Udaipur(25.0%),"{98: 50.0, 110: 25.0, 112: 25.0, 117: 25.0}",98,Dholpur,50.0,110.0,Nagaur,25.0,25.0,MODERATE DISPARITY,0,
272883,Kattappana,32,Kerala,"[682301, 682304, 683104, 685508]",4,1,555:Ernakulam(50.0%),{555: 50.0},555,Ernakulam,50.0,,,,50.0,HIGH DISPARITY,2,"[683104, 685508]"
272884,Sreekandapuram,32,Kerala,"[670631, 682301, 682304, 683104]",4,2,555:Ernakulam(50.0%) | 557:Kannur(25.0%),"{555: 50.0, 557: 25.0}",555,Ernakulam,50.0,557.0,Kannur,25.0,25.0,MODERATE DISPARITY,1,[683104]
276313,Lohara (Bk),27,Maharashtra,"[413608, 445002]",2,2,488:Dharashiv(50.0%) | 500:Yavatmal(50.0%),"{488: 50.0, 500: 50.0}",488,Dharashiv,50.0,500.0,Yavatmal,50.0,0.0,LOW DISPARITY,0,
276348,Khanapur,27,Maharashtra,"[411025, 415307]",2,2,490:Pune(50.0%) | 493:Sangli(50.0%),"{490: 50.0, 493: 50.0}",490,Pune,50.0,493.0,Sangli,50.0,0.0,LOW DISPARITY,0,
276352,Kapali,20,Jharkhand,"[814101, 831012]",2,1,326:Dumka(50.0%),{326: 50.0},326,Dumka,50.0,,,,50.0,HIGH DISPARITY,1,[831012]
276400,East Delhi Municipal Corporation,7,Delhi,"[110031, 110032, 110051, 110053, 110090, 110093, 110094, 110095, 110096, 110151]",10,3,81:North East(50.0%) | 78:East(30.0%) | 80:North(10.0%),"{81: 50.0, 78: 30.0, 80: 10.0}",81,North East,50.0,78.0,East,30.0,20.0,MODERATE DISPARITY,3,"[110051, 110095, 110151]"
