stateCode,localBodyCode,localBodyName,localBodyType,districtCode,districtName,status
22,250616,Bilaspur,Municipal Corporations,375,Bilaspur,FULL MATCH
22,250621,Bodri,Municipality,375,Bilaspur,FULL MATCH
22,250622,Bilha,Town Panchayat,"375, 647",Bilaspur | Mungeli,FULL MATCH
22,250623,Kawardha,Municipality,382,Kabeerdham,FULL MATCH
22,250624,Pandariya,Municipality,382,Kabeerdham,FULL MATCH
22,250625,Gandai,Town Panchayat,"382, 759",Kabeerdham | Khairagarh-Chhuikhadan-Gandai,FULL MATCH
22,250626,Chhuikhadan,Town Panchayat,759,Khairagarh-Chhuikhadan-Gandai,FULL MATCH
22,250628,Dongargarh,Municipality,"388, 761",Rajnandgaon | Mohla-Manpur-Ambagarh Chouki,FULL MATCH
22,250629,Rajnandgaon,Municipal Corporations,388,Rajnandgaon,FULL MATCH
22,250630,Dongargaon,Town Panchayat,388,Rajnandgaon,FULL MATCH
22,250631,Ambagarh Chowki,Town Panchayat,"388, 646, 761",Rajnandgaon | Balod | Mohla-Manpur-Ambagarh Chouki,FULL MATCH
22,250632,Bemetara,Municipality,650,Bemetara,FULL MATCH
22,250633,Than Khamharia,Town Panchayat,650,Bemetara,FULL MATCH
22,250634,Dhamdha,Town Panchayat,"378, 650",Durg | Bemetara,FULL MATCH
22,250635,Ahiwara,Municipality,"378, 650",Durg | Bemetara,FULL MATCH
22,250636,Jamul,Municipality,378,Durg,FULL MATCH
22,250637,Kumhari,Municipality,378,Durg,FULL MATCH
22,250638,Bhilai Charoda,Municipal Corporations,378,Durg,FULL MATCH
22,250639,Bhilai,Municipal Corporations,378,Durg,AMBIGUOUS MATCH
22,250640,Durg,Municipal Corporations,"378, 388",Durg | Rajnandgaon,AMBIGUOUS MATCH
22,250641,Patan,Town Panchayat,378,Durg,FULL MATCH
22,250642,Balod,Municipality,646,Balod,FULL MATCH
22,250643,Dalli Rajhara,Municipality,646,Balod,FULL MATCH
22,250644,Simga,Municipality,"387, 644",Raipur | Balodabazar-Bhatapara,FULL MATCH
22,250645,Kasdol,Town Panchayat,644,Balodabazar-Bhatapara,FULL MATCH
22,250646,Kurra,Town Panchayat,387,Raipur,FULL MATCH
22,250647,Palari,Town Panchayat,644,Balodabazar-Bhatapara,FULL MATCH
22,250648,Baloda Bazar,Municipality,644,Balodabazar-Bhatapara,FULL MATCH
22,250649,Gobra Nawapara,Municipality,"387, 645",Raipur | Gariyaband,FULL MATCH
22,250650,Arang,Municipality,"387, 644",Raipur | Balodabazar-Bhatapara,FULL MATCH
22,250651,Bhatapara,Municipality,644,Balodabazar-Bhatapara,FULL MATCH
22,250652,Kharora,Town Panchayat,"387, 644, 763",Raipur | Balodabazar-Bhatapara | Sarangarh-Bilaigarh,FULL MATCH
22,250653,Raipur,Municipal Corporations,387,Raipur,FULL MATCH
22,250654,Tundra,Town Panchayat,644,Balodabazar-Bhatapara,FULL MATCH
22,250655,Mana Camp,Town Panchayat,387,Raipur,FULL MATCH
22,250656,Bilaigarh,Town Panchayat,"644, 763",Balodabazar-Bhatapara | Sarangarh-Bilaigarh,FULL MATCH
22,250657,Tilda Newra,Municipality,387,Raipur,FULL MATCH
22,250658,Basna,Town Panchayat,385,Mahasamund,FULL MATCH
22,250659,Saraipali,Municipality,385,Mahasamund,FULL MATCH
22,250660,Pithora,Town Panchayat,"385, 644",Mahasamund | Balodabazar-Bhatapara,FULL MATCH
22,250661,Mahasamund,Municipality,385,Mahasamund,FULL MATCH
22,250662,Bagbahara,Municipality,385,Mahasamund,FULL MATCH
22,250663,Kanker,Municipality,"377, 381, 643",Dhamtari | Uttar Bastar Kanker | Kondagaon,FULL MATCH
22,250664,Kondagaon,Municipality,643,Kondagaon,FULL MATCH
22,250665,Jagdalpur,Municipal Corporations,374,Bastar,FULL MATCH
22,250668,Geedam,Town Panchayat,"374, 376",Bastar | Dakshin Bastar Dantewada,FULL MATCH
