localBodyCode,status,matched_district(s)
249027,FULL MATCH,"119, 163"
249028,FULL MATCH,119
249029,NO MATCH,
249030,FULL MATCH,119
249031,FULL MATCH,119
249032,FULL MATCH,"119, 163"
249033,FULL MATCH,"119, 163"
249034,FULL MATCH,163
249035,FULL MATCH,163
249036,FULL MATCH,163
249037,FULL MATCH,"119, 163"
249038,FULL MATCH,119
249039,FULL MATCH,163
249040,FULL MATCH,163
249041,FULL MATCH,167
249042,FULL MATCH,167
249043,FULL MATCH,167
249044,FULL MATCH,167
249045,FULL MATCH,167
249046,FULL MATCH,167
249047,FULL MATCH,167
249049,FULL MATCH,167
249050,FULL MATCH,167
249051,FULL MATCH,167
249052,FULL MATCH,167
249055,FULL MATCH,167
249056,FULL MATCH,167
249057,FULL MATCH,167
249058,FULL MATCH,167
249059,FULL MATCH,118
249060,FULL MATCH,118
249061,FULL MATCH,118
249062,AMBIGUOUS MATCH,118
249066,FULL MATCH,118
249067,FULL MATCH,118
249068,FULL MATCH,118
249069,FULL MATCH,118
249070,FULL MATCH,118
249071,FULL MATCH,141
249072,FULL MATCH,118
249073,FULL MATCH,118
249074,FULL MATCH,118
249075,FULL MATCH,143
249079,FULL MATCH,143
249080,FULL MATCH,143
249081,FULL MATCH,143
249082,FULL MATCH,143
249083,FULL MATCH,143
249084,FULL MATCH,633
249085,FULL MATCH,633
249086,FULL MATCH,633
249087,FULL MATCH,633
249088,FULL MATCH,633
249089,FULL MATCH,633
249090,FULL MATCH,633
249091,FULL MATCH,"138, 633"
249092,FULL MATCH,"138, 633"
249093,FULL MATCH,"138, 633"
249094,FULL MATCH,"138, 633"
249095,FULL MATCH,"138, 633"
249096,FULL MATCH,138
249097,FULL MATCH,138
249098,FULL MATCH,138
249099,FULL MATCH,"138, 633"
249100,FULL MATCH,138
249101,FULL MATCH,138
249102,FULL MATCH,138
249103,FULL MATCH,166
249104,FULL MATCH,166
249105,FULL MATCH,"143, 166"
249106,FULL MATCH,166
249107,FULL MATCH,166
249108,FULL MATCH,166
249109,AMBIGUOUS MATCH,"149, 165, 166"
249110,FULL MATCH,166
249111,FULL MATCH,166
249112,FULL MATCH,659
249114,FULL MATCH,"133, 659"
249115,FULL MATCH,"133, 659"
249116,FULL MATCH,133
249117,FULL MATCH,133
249118,FULL MATCH,133
249119,FULL MATCH,133
249120,FULL MATCH,147
249121,FULL MATCH,"133, 659"
249122,FULL MATCH,"133, 659"
249123,FULL MATCH,"133, 659"
249124,FULL MATCH,133
249125,FULL MATCH,133
249126,FULL MATCH,133
249127,FULL MATCH,133
249128,FULL MATCH,133
249129,FULL MATCH,133
249130,FULL MATCH,133
249131,FULL MATCH,133
249133,FULL MATCH,133
249134,FULL MATCH,133
249135,FULL MATCH,130
249136,FULL MATCH,130
249137,FULL MATCH,130
249138,FULL MATCH,130
249139,FULL MATCH,167
249140,FULL MATCH,130
249141,FULL MATCH,130
249142,FULL MATCH,130
249143,FULL MATCH,130
249144,FULL MATCH,130
249145,FULL MATCH,130
249146,FULL MATCH,130
249147,FULL MATCH,130
249149,FULL MATCH,130
249151,FULL MATCH,130
249152,FULL MATCH,130
249153,FULL MATCH,130
249154,FULL MATCH,130
249155,FULL MATCH,130
249156,FULL MATCH,130
249157,FULL MATCH,173
249158,FULL MATCH,173
249159,FULL MATCH,173
249160,FULL MATCH,173
249161,FULL MATCH,173
249162,FULL MATCH,173
249163,FULL MATCH,173
249164,FULL MATCH,173
249165,FULL MATCH,173
249166,FULL MATCH,180
249167,FULL MATCH,180
249168,AMBIGUOUS MATCH,"141, 155, 180"
249169,FULL MATCH,174
249170,FULL MATCH,180
249173,FULL MATCH,180
249174,AMBIGUOUS MATCH,"155, 180"
249175,FULL MATCH,180
249176,FULL MATCH,159
249177,FULL MATCH,159
249178,FULL MATCH,159
249179,FULL MATCH,"148, 159"
249180,FULL MATCH,159
249181,FULL MATCH,118
249182,FULL MATCH,159
249183,FULL MATCH,159
249184,FULL MATCH,159
249185,FULL MATCH,159
249186,FULL MATCH,183
249187,FULL MATCH,183
249188,FULL MATCH,183
249189,FULL MATCH,183
249190,FULL MATCH,183
249191,FULL MATCH,183
249192,FULL MATCH,183
249193,FULL MATCH,183
249194,FULL MATCH,183
249195,FULL MATCH,183
249196,FULL MATCH,183
249197,FULL MATCH,150
249198,FULL MATCH,150
249199,FULL MATCH,150
249200,FULL MATCH,150
249201,FULL MATCH,150
249202,FULL MATCH,150
249203,FULL MATCH,150
249204,AMBIGUOUS MATCH,"150, 174"
249205,FULL MATCH,150
249206,FULL MATCH,186
249207,FULL MATCH,150
249208,FULL MATCH,150
249209,FULL MATCH,150
249211,FULL MATCH,"150, 186"
249212,FULL MATCH,186
249213,FULL MATCH,186
249214,FULL MATCH,186
249215,FULL MATCH,186
249216,FULL MATCH,150
249217,FULL MATCH,186
249218,FULL MATCH,186
249219,FULL MATCH,186
249220,FULL MATCH,186
249221,FULL MATCH,186
249222,FULL MATCH,186
249223,FULL MATCH,186
249226,FULL MATCH,186
249227,FULL MATCH,186
249228,FULL MATCH,186
249229,FULL MATCH,186
249230,FULL MATCH,162
249231,FULL MATCH,162
249232,FULL MATCH,162
249233,FULL MATCH,162
249234,AMBIGUOUS MATCH,162
249235,FULL MATCH,"121, 140"
249236,FULL MATCH,162
249237,FULL MATCH,162
249238,FULL MATCH,175
249239,FULL MATCH,123
249240,FULL MATCH,"175, 640"
249241,FULL MATCH,175
249242,AMBIGUOUS MATCH,"123, 131, 170, 175, 178"
249243,FULL MATCH,175
249244,FULL MATCH,175
249245,FULL MATCH,175
249246,FULL MATCH,175
249247,FULL MATCH,141
249248,FULL MATCH,141
249250,FULL MATCH,141
249251,FULL MATCH,168
249252,FULL MATCH,"141, 155"
249253,FULL MATCH,155
249254,FULL MATCH,155
249255,FULL MATCH,155
249256,FULL MATCH,155
249257,FULL MATCH,155
249258,FULL MATCH,155
249259,FULL MATCH,155
249260,FULL MATCH,155
249261,FULL MATCH,139
249262,FULL MATCH,139
249263,FULL MATCH,139
249264,FULL MATCH,"122, 139"
249265,FULL MATCH,139
249266,FULL MATCH,139
249267,FULL MATCH,122
249268,FULL MATCH,122
249269,FULL MATCH,"122, 139"
249270,FULL MATCH,"122, 139"
249271,FULL MATCH,122
249272,FULL MATCH,122
249273,FULL MATCH,122
249275,FULL MATCH,"156, 157"
249276,FULL MATCH,156
249277,FULL MATCH,121
249279,FULL MATCH,156
249282,FULL MATCH,"156, 157, 186"
249283,FULL MATCH,"157, 186"
249285,FULL MATCH,157
249286,NO MATCH,
249290,FULL MATCH,"156, 157"
249291,FULL MATCH,151
249292,FULL MATCH,151
249293,FULL MATCH,"151, 161"
249294,FULL MATCH,151
249295,FULL MATCH,151
249296,FULL MATCH,151
249297,FULL MATCH,"151, 161"
249298,FULL MATCH,"151, 153"
249299,FULL MATCH,"151, 153"
249300,FULL MATCH,151
249301,FULL MATCH,"151, 153"
249302,FULL MATCH,153
249303,FULL MATCH,153
249304,FULL MATCH,153
249305,FULL MATCH,153
249306,FULL MATCH,153
249307,FULL MATCH,153
249308,FULL MATCH,153
249309,FULL MATCH,153
249310,FULL MATCH,153
249311,FULL MATCH,153
249313,FULL MATCH,153
249314,FULL MATCH,153
249317,FULL MATCH,161
249318,FULL MATCH,161
249319,FULL MATCH,161
249320,FULL MATCH,161
249321,FULL MATCH,149
249322,FULL MATCH,149
249323,FULL MATCH,"149, 165"
249324,FULL MATCH,"149, 165"
249325,FULL MATCH,"149, 165"
249326,FULL MATCH,"149, 165"
249327,FULL MATCH,"128, 149, 165"
249328,FULL MATCH,165
249329,FULL MATCH,"149, 165"
249330,FULL MATCH,165
249331,FULL MATCH,165
249332,FULL MATCH,"128, 165"
249333,FULL MATCH,"128, 165"
249334,FULL MATCH,"128, 165"
249335,FULL MATCH,128
249336,FULL MATCH,128
249337,FULL MATCH,128
249338,FULL MATCH,"128, 136"
249339,FULL MATCH,128
249340,FULL MATCH,128
249341,FULL MATCH,136
249342,FULL MATCH,136
249343,FULL MATCH,136
249344,FULL MATCH,142
249345,FULL MATCH,142
249346,FULL MATCH,142
249347,FULL MATCH,142
249348,FULL MATCH,142
249349,FULL MATCH,142
249350,FULL MATCH,174
249351,FULL MATCH,174
249352,FULL MATCH,174
249353,FULL MATCH,174
249354,FULL MATCH,174
249355,FULL MATCH,174
249356,FULL MATCH,174
249357,FULL MATCH,158
249358,FULL MATCH,158
249359,FULL MATCH,158
249360,FULL MATCH,158
249361,FULL MATCH,158
249362,FULL MATCH,158
249363,FULL MATCH,158
249364,FULL MATCH,"120, 174"
249365,FULL MATCH,"120, 174"
249368,FULL MATCH,123
249369,AMBIGUOUS MATCH,"120, 158"
249370,FULL MATCH,120
249372,FULL MATCH,120
249373,FULL MATCH,120
249374,FULL MATCH,120
249375,FULL MATCH,120
249376,FULL MATCH,129
249377,FULL MATCH,129
249378,FULL MATCH,129
249380,AMBIGUOUS MATCH,"129, 170"
249381,FULL MATCH,129
249382,FULL MATCH,129
249384,FULL MATCH,129
249385,FULL MATCH,129
249386,FULL MATCH,129
249387,FULL MATCH,129
249388,FULL MATCH,140
249389,FULL MATCH,140
249391,FULL MATCH,140
249392,FULL MATCH,162
249393,FULL MATCH,140
249394,FULL MATCH,121
249396,FULL MATCH,176
249398,FULL MATCH,121
249399,FULL MATCH,121
249400,FULL MATCH,121
249401,FULL MATCH,"185, 640"
249402,FULL MATCH,640
249404,FULL MATCH,"185, 640"
249405,FULL MATCH,185
249406,FULL MATCH,185
249407,FULL MATCH,185
249408,FULL MATCH,125
249409,FULL MATCH,125
249410,FULL MATCH,125
249411,FULL MATCH,125
249412,FULL MATCH,160
249413,FULL MATCH,181
249414,FULL MATCH,127
249415,FULL MATCH,127
249416,FULL MATCH,127
249417,FULL MATCH,127
249418,NO MATCH,
249419,FULL MATCH,147
249420,FULL MATCH,180
249421,FULL MATCH,147
249422,FULL MATCH,147
249423,FULL MATCH,147
249426,FULL MATCH,182
249427,FULL MATCH,182
249428,FULL MATCH,182
249429,FULL MATCH,131
249430,FULL MATCH,131
249431,FULL MATCH,178
249433,FULL MATCH,"131, 178"
249434,FULL MATCH,178
249435,FULL MATCH,"131, 178"
249436,FULL MATCH,"148, 164"
249437,FULL MATCH,164
249438,FULL MATCH,164
249439,FULL MATCH,"148, 164"
249440,FULL MATCH,164
249441,FULL MATCH,164
249442,FULL MATCH,"148, 164"
249443,FULL MATCH,148
249444,FULL MATCH,148
249446,FULL MATCH,148
249447,FULL MATCH,148
249448,FULL MATCH,148
249449,FULL MATCH,148
249450,FULL MATCH,148
249451,FULL MATCH,160
249452,FULL MATCH,160
249453,FULL MATCH,137
249454,FULL MATCH,137
249457,FULL MATCH,"137, 160"
249458,FULL MATCH,137
249459,FULL MATCH,137
249460,FULL MATCH,"137, 160"
249461,FULL MATCH,137
249462,FULL MATCH,137
249463,FULL MATCH,137
249464,FULL MATCH,137
249465,FULL MATCH,137
249466,FULL MATCH,137
249467,FULL MATCH,137
249468,FULL MATCH,123
249469,FULL MATCH,"175, 640"
249470,FULL MATCH,123
249471,FULL MATCH,123
249472,FULL MATCH,123
249474,FULL MATCH,123
249477,FULL MATCH,123
249478,FULL MATCH,123
249479,FULL MATCH,123
249480,FULL MATCH,120
249481,FULL MATCH,123
249482,FULL MATCH,123
249483,FULL MATCH,168
249484,FULL MATCH,168
249485,FULL MATCH,168
249486,FULL MATCH,168
249487,FULL MATCH,168
249488,FULL MATCH,168
249490,FULL MATCH,141
249492,FULL MATCH,126
249493,FULL MATCH,126
249494,FULL MATCH,126
249495,FULL MATCH,126
249496,FULL MATCH,126
249497,FULL MATCH,130
249498,FULL MATCH,126
249499,FULL MATCH,126
249500,FULL MATCH,126
249501,FULL MATCH,152
249502,FULL MATCH,152
249503,FULL MATCH,152
249504,FULL MATCH,152
249505,FULL MATCH,152
249507,FULL MATCH,152
249508,FULL MATCH,152
249509,FULL MATCH,146
249510,FULL MATCH,146
249511,FULL MATCH,146
249512,FULL MATCH,146
249513,FULL MATCH,146
249514,FULL MATCH,146
249515,FULL MATCH,146
249516,FULL MATCH,146
249518,FULL MATCH,135
249520,FULL MATCH,135
249521,FULL MATCH,135
249522,FULL MATCH,135
249524,FULL MATCH,187
249531,AMBIGUOUS MATCH,"135, 187"
249533,FULL MATCH,179
249534,FULL MATCH,179
249535,FULL MATCH,179
249536,FULL MATCH,179
249537,FULL MATCH,179
249538,FULL MATCH,179
249539,FULL MATCH,179
249540,FULL MATCH,170
249542,FULL MATCH,170
249543,FULL MATCH,170
249545,FULL MATCH,170
249546,FULL MATCH,"170, 184"
249547,FULL MATCH,184
249548,FULL MATCH,184
249549,FULL MATCH,184
249550,FULL MATCH,184
249551,FULL MATCH,184
249552,FULL MATCH,184
249553,FULL MATCH,184
249560,FULL MATCH,211
249561,FULL MATCH,211
249562,FULL MATCH,211
249563,FULL MATCH,211
249564,FULL MATCH,211
249565,FULL MATCH,213
249566,FULL MATCH,213
249567,FULL MATCH,213
249568,FULL MATCH,213
249570,FULL MATCH,213
249571,FULL MATCH,213
249573,FULL MATCH,221
249574,FULL MATCH,"220, 221"
249575,FULL MATCH,221
249577,FULL MATCH,221
249578,FULL MATCH,206
249579,FULL MATCH,206
249580,FULL MATCH,206
249581,FULL MATCH,"206, 223"
249582,FULL MATCH,223
249583,FULL MATCH,223
249584,FULL MATCH,223
249585,NO MATCH,
249586,FULL MATCH,188
249587,FULL MATCH,188
249588,FULL MATCH,203
249589,FULL MATCH,"201, 203"
249590,FULL MATCH,203
249592,FULL MATCH,214
249595,AMBIGUOUS MATCH,201
249596,FULL MATCH,"201, 203"
249597,FULL MATCH,205
249598,FULL MATCH,205
249599,NO MATCH,
249600,AMBIGUOUS MATCH,195
249601,FULL MATCH,208
249602,FULL MATCH,208
249603,FULL MATCH,208
249604,FULL MATCH,222
249605,FULL MATCH,222
249606,FULL MATCH,222
249608,FULL MATCH,222
249609,FULL MATCH,222
249610,FULL MATCH,222
249611,FULL MATCH,218
249612,FULL MATCH,218
249613,FULL MATCH,218
249614,FULL MATCH,218
249615,FULL MATCH,"212, 218"
249616,FULL MATCH,224
249617,FULL MATCH,224
249618,FULL MATCH,224
249619,FULL MATCH,217
249621,FULL MATCH,217
249622,FULL MATCH,217
249624,FULL MATCH,191
249625,FULL MATCH,202
249626,FULL MATCH,202
249627,FULL MATCH,"190, 192, 201, 205, 214"
249629,FULL MATCH,"192, 207"
249630,FULL MATCH,192
249632,FULL MATCH,190
249633,FULL MATCH,190
249634,FULL MATCH,207
249635,FULL MATCH,207
249638,FULL MATCH,204
249639,FULL MATCH,204
249641,FULL MATCH,219
249642,FULL MATCH,209
249643,FULL MATCH,209
249644,FULL MATCH,209
249646,FULL MATCH,209
249647,FULL MATCH,212
249648,FULL MATCH,212
249649,NO MATCH,
249650,AMBIGUOUS MATCH,212
249651,FULL MATCH,212
249652,FULL MATCH,212
249653,FULL MATCH,212
249654,FULL MATCH,212
249656,FULL MATCH,212
249657,FULL MATCH,212
249658,FULL MATCH,222
249659,FULL MATCH,193
249660,FULL MATCH,193
249661,FULL MATCH,193
249662,AMBIGUOUS MATCH,"190, 192, 193, 211"
249663,FULL MATCH,193
249664,FULL MATCH,194
249665,FULL MATCH,"193, 194"
249666,FULL MATCH,200
249667,FULL MATCH,215
249668,FULL MATCH,215
249669,FULL MATCH,215
249670,FULL MATCH,215
249671,FULL MATCH,215
249672,FULL MATCH,199
249673,FULL MATCH,199
249674,FULL MATCH,189
249675,FULL MATCH,189
249678,FULL MATCH,189
249679,FULL MATCH,196
249680,FULL MATCH,196
249682,FULL MATCH,196
249683,FULL MATCH,196
249684,FULL MATCH,210
249685,FULL MATCH,209
249686,FULL MATCH,210
249687,FULL MATCH,198
249688,FULL MATCH,198
249689,FULL MATCH,226
249690,FULL MATCH,228
249692,FULL MATCH,227
249693,FULL MATCH,"225, 226, 227, 742"
249694,FULL MATCH,225
249695,FULL MATCH,"225, 741"
249698,FULL MATCH,238
249699,FULL MATCH,242
249700,FULL MATCH,"231, 723, 787"
249701,FULL MATCH,237
249702,FULL MATCH,237
249703,FULL MATCH,786
249704,FULL MATCH,241
249705,FULL MATCH,"243, 679"
249706,FULL MATCH,"243, 724"
249707,AMBIGUOUS MATCH,"232, 679"
249708,FULL MATCH,235
249709,FULL MATCH,234
249710,FULL MATCH,"229, 678"
249711,FULL MATCH,229
249712,FULL MATCH,229
249713,FULL MATCH,239
249714,FULL MATCH,239
249715,FULL MATCH,247
249716,FULL MATCH,"249, 736, 765"
249717,FULL MATCH,"246, 249"
249718,FULL MATCH,251
249719,FULL MATCH,250
249720,FULL MATCH,"244, 250, 613, 758, 764"
249721,FULL MATCH,"244, 758, 764"
249722,NO MATCH,
249723,FULL MATCH,248
249761,FULL MATCH,266
249762,FULL MATCH,266
249763,FULL MATCH,"261, 266"
249764,FULL MATCH,263
249765,FULL MATCH,"263, 266"
249766,FULL MATCH,"263, 266"
249767,FULL MATCH,263
249768,FULL MATCH,261
249769,FULL MATCH,"261, 263, 266"
249770,FULL MATCH,261
249771,FULL MATCH,"268, 727"
249772,FULL MATCH,728
249773,FULL MATCH,262
249774,AMBIGUOUS MATCH,"262, 728"
249775,FULL MATCH,"268, 728"
249776,FULL MATCH,268
249777,FULL MATCH,"265, 268, 726"
249778,FULL MATCH,268
249779,FULL MATCH,265
249780,FULL MATCH,"265, 726"
249781,FULL MATCH,726
249782,FULL MATCH,"264, 267"
249783,AMBIGUOUS MATCH,652
249784,FULL MATCH,652
249785,AMBIGUOUS MATCH,272
249786,FULL MATCH,272
249787,FULL MATCH,653
249788,FULL MATCH,272
249789,FULL MATCH,272
249790,FULL MATCH,272
249791,FULL MATCH,272
249792,FULL MATCH,272
249793,FULL MATCH,272
249794,FULL MATCH,272
249796,FULL MATCH,654
249797,FULL MATCH,"653, 654"
249798,FULL MATCH,271
249799,FULL MATCH,271
249800,FULL MATCH,269
249802,FULL MATCH,269
249803,FULL MATCH,270
249804,FULL MATCH,655
249805,FULL MATCH,655
249806,FULL MATCH,663
249807,FULL MATCH,"273, 656"
249808,FULL MATCH,"273, 277, 656"
249809,FULL MATCH,277
249810,FULL MATCH,"276, 279, 658, 740"
249811,FULL MATCH,"279, 740"
249812,FULL MATCH,"276, 277"
249814,FULL MATCH,274
249820,FULL MATCH,275
249821,FULL MATCH,294
249823,FULL MATCH,"281, 294"
249826,AMBIGUOUS MATCH,"285, 707"
249827,FULL MATCH,285
249828,FULL MATCH,"294, 612"
249834,FULL MATCH,"281, 287"
249836,FULL MATCH,281
249838,FULL MATCH,"281, 287"
249839,FULL MATCH,612
249841,FULL MATCH,"280, 616, 739"
249842,FULL MATCH,"280, 616"
249843,FULL MATCH,"280, 739"
249844,FULL MATCH,"280, 616, 739"
249846,FULL MATCH,"280, 616, 739"
249847,FULL MATCH,"280, 739"
249851,NO MATCH,
249854,NO MATCH,
249855,FULL MATCH,291
249857,FULL MATCH,"298, 616, 739"
249858,FULL MATCH,298
249859,AMBIGUOUS MATCH,"283, 301, 617"
249860,FULL MATCH,283
249861,FULL MATCH,"283, 617"
249862,FULL MATCH,"301, 617"
249864,FULL MATCH,297
249866,FULL MATCH,297
249869,FULL MATCH,"297, 709"
249870,FULL MATCH,709
249871,FULL MATCH,709
249872,FULL MATCH,"292, 709"
249875,FULL MATCH,301
249876,FULL MATCH,301
249877,FULL MATCH,301
249879,FULL MATCH,705
249880,FULL MATCH,705
249881,FULL MATCH,295
249882,NO MATCH,
249883,FULL MATCH,284
249884,FULL MATCH,284
249886,FULL MATCH,302
249887,FULL MATCH,302
249888,FULL MATCH,302
249890,FULL MATCH,302
249892,FULL MATCH,302
249896,FULL MATCH,286
249898,FULL MATCH,286
249902,FULL MATCH,708
249903,FULL MATCH,286
249904,AMBIGUOUS MATCH,286
249905,FULL MATCH,300
249906,FULL MATCH,"290, 300"
249907,FULL MATCH,"300, 708"
249908,FULL MATCH,708
249912,FULL MATCH,290
249915,FULL MATCH,290
249916,FULL MATCH,290
249918,FULL MATCH,288
249919,FULL MATCH,288
249921,FULL MATCH,288
249922,FULL MATCH,288
249923,FULL MATCH,"292, 710"
249924,FULL MATCH,710
249925,NO MATCH,
249926,FULL MATCH,292
249927,FULL MATCH,292
249928,FULL MATCH,292
249929,FULL MATCH,299
249930,FULL MATCH,299
249931,FULL MATCH,299
249932,FULL MATCH,299
249933,FULL MATCH,282
249939,FULL MATCH,287
249940,FULL MATCH,293
249941,FULL MATCH,293
249944,NO MATCH,
249945,FULL MATCH,289
249946,FULL MATCH,309
249947,FULL MATCH,702
249948,FULL MATCH,309
249949,FULL MATCH,309
249955,FULL MATCH,314
249956,NO MATCH,
249957,AMBIGUOUS MATCH,309
249958,FULL MATCH,"308, 664"
249970,FULL MATCH,314
249972,FULL MATCH,"308, 314"
249973,FULL MATCH,308
249974,FULL MATCH,308
249975,NO MATCH,
249976,FULL MATCH,308
249977,FULL MATCH,308
249982,FULL MATCH,311
249983,FULL MATCH,311
249984,FULL MATCH,311
249985,FULL MATCH,311
249988,FULL MATCH,"310, 316"
249989,FULL MATCH,310
249990,FULL MATCH,316
249991,FULL MATCH,316
249995,FULL MATCH,319
249996,FULL MATCH,319
249997,FULL MATCH,319
249998,NO MATCH,
249999,AMBIGUOUS MATCH,319
250000,FULL MATCH,319
250001,FULL MATCH,319
250024,NO MATCH,
250025,FULL MATCH,"307, 319"
250026,FULL MATCH,307
250027,FULL MATCH,307
250028,FULL MATCH,307
250032,FULL MATCH,704
250034,FULL MATCH,704
250035,FULL MATCH,306
250036,FULL MATCH,"306, 320"
250037,FULL MATCH,306
250038,FULL MATCH,306
250039,FULL MATCH,306
250040,FULL MATCH,306
250096,FULL MATCH,320
250097,FULL MATCH,320
250098,NO MATCH,
250099,FULL MATCH,320
250100,FULL MATCH,320
250101,FULL MATCH,320
250102,NO MATCH,
250103,FULL MATCH,320
250104,AMBIGUOUS MATCH,320
250105,AMBIGUOUS MATCH,320
250121,FULL MATCH,303
250122,FULL MATCH,303
250123,AMBIGUOUS MATCH,303
250124,AMBIGUOUS MATCH,303
250125,AMBIGUOUS MATCH,303
250126,FULL MATCH,303
250127,FULL MATCH,303
250128,FULL MATCH,303
250129,NO MATCH,
250131,AMBIGUOUS MATCH,303
250132,AMBIGUOUS MATCH,303
250133,AMBIGUOUS MATCH,303
250134,FULL MATCH,303
250135,FULL MATCH,303
250136,NO MATCH,
250137,AMBIGUOUS MATCH,303
250138,AMBIGUOUS MATCH,303
250139,NO MATCH,
250140,NO MATCH,
250141,NO MATCH,
250142,NO MATCH,
250143,NO MATCH,
250144,NO MATCH,
250145,AMBIGUOUS MATCH,303
250147,FULL MATCH,303
250148,FULL MATCH,303
250168,FULL MATCH,312
250169,FULL MATCH,312
250170,FULL MATCH,312
250171,FULL MATCH,312
250172,AMBIGUOUS MATCH,312
250173,AMBIGUOUS MATCH,312
250174,AMBIGUOUS MATCH,312
250175,FULL MATCH,312
250176,AMBIGUOUS MATCH,312
250177,AMBIGUOUS MATCH,312
250178,NO MATCH,
250179,AMBIGUOUS MATCH,312
250208,FULL MATCH,305
250209,AMBIGUOUS MATCH,305
250210,FULL MATCH,305
250213,FULL MATCH,321
250214,FULL MATCH,321
250215,FULL MATCH,321
250225,FULL MATCH,318
250226,FULL MATCH,318
250227,FULL MATCH,318
250228,FULL MATCH,318
250229,FULL MATCH,"312, 318"
250230,FULL MATCH,318
250231,FULL MATCH,703
250232,AMBIGUOUS MATCH,318
250233,NO MATCH,
250234,NO MATCH,
250235,FULL MATCH,317
250236,FULL MATCH,317
250246,AMBIGUOUS MATCH,313
250247,AMBIGUOUS MATCH,313
250248,AMBIGUOUS MATCH,313
250299,NO MATCH,
250300,FULL MATCH,304
250301,FULL MATCH,304
250302,NO MATCH,
250303,AMBIGUOUS MATCH,304
250304,FULL MATCH,304
250305,FULL MATCH,304
250306,FULL MATCH,304
250323,AMBIGUOUS MATCH,"324, 338"
250324,NO MATCH,
250326,FULL MATCH,335
250349,FULL MATCH,329
250352,AMBIGUOUS MATCH,324
250378,AMBIGUOUS MATCH,325
250413,FULL MATCH,339
250414,FULL MATCH,606
250415,AMBIGUOUS MATCH,"323, 332, 339"
250416,FULL MATCH,326
250423,FULL MATCH,341
250430,FULL MATCH,326
250433,NO MATCH,
250434,FULL MATCH,327
250435,AMBIGUOUS MATCH,"326, 327"
250445,FULL MATCH,327
250446,FULL MATCH,347
250447,FULL MATCH,347
250448,NO MATCH,
250450,NO MATCH,
250451,FULL MATCH,357
250452,AMBIGUOUS MATCH,357
250453,FULL MATCH,371
250454,FULL MATCH,371
250457,FULL MATCH,351
250458,NO MATCH,
250459,FULL MATCH,373
250462,FULL MATCH,373
250467,AMBIGUOUS MATCH,373
250469,FULL MATCH,361
250471,FULL MATCH,361
250474,NO MATCH,
250476,FULL MATCH,361
250478,FULL MATCH,365
250479,FULL MATCH,365
250480,FULL MATCH,365
250481,FULL MATCH,365
250482,NO MATCH,
250484,FULL MATCH,346
250485,FULL MATCH,346
250486,NO MATCH,
250487,FULL MATCH,348
250489,FULL MATCH,348
250490,FULL MATCH,360
250491,FULL MATCH,360
250494,FULL MATCH,350
250498,FULL MATCH,350
250500,FULL MATCH,350
250501,AMBIGUOUS MATCH,350
250502,FULL MATCH,356
250503,FULL MATCH,356
250510,FULL MATCH,367
250512,FULL MATCH,367
250514,FULL MATCH,362
250516,FULL MATCH,362
250517,FULL MATCH,362
250519,FULL MATCH,362
250520,AMBIGUOUS MATCH,"362, 369"
250521,FULL MATCH,369
250522,FULL MATCH,369
250523,FULL MATCH,369
250524,AMBIGUOUS MATCH,369
250525,FULL MATCH,354
250526,FULL MATCH,354
250527,NO MATCH,
250528,FULL MATCH,354
250529,FULL MATCH,354
250531,FULL MATCH,354
250532,FULL MATCH,354
250533,FULL MATCH,354
250534,FULL MATCH,354
250535,FULL MATCH,354
250536,FULL MATCH,354
250537,AMBIGUOUS MATCH,354
250538,FULL MATCH,354
250539,FULL MATCH,354
250540,FULL MATCH,354
250541,FULL MATCH,354
250542,FULL MATCH,354
250543,AMBIGUOUS MATCH,354
250544,FULL MATCH,353
250545,FULL MATCH,"353, 354"
250546,FULL MATCH,359
250547,FULL MATCH,359
250548,FULL MATCH,349
250549,FULL MATCH,372
250550,FULL MATCH,372
250551,FULL MATCH,372
250552,FULL MATCH,345
250553,FULL MATCH,345
250554,FULL MATCH,345
250555,AMBIGUOUS MATCH,345
250556,FULL MATCH,368
250557,FULL MATCH,368
250558,NO MATCH,
250559,FULL MATCH,358
250560,FULL MATCH,358
250563,FULL MATCH,370
250564,FULL MATCH,370
250565,NO MATCH,
250567,FULL MATCH,366
250569,NO MATCH,
250570,FULL MATCH,363
250571,FULL MATCH,363
250573,FULL MATCH,363
250574,AMBIGUOUS MATCH,363
250576,FULL MATCH,364
250578,FULL MATCH,"384, 760"
250579,FULL MATCH,"384, 760"
250580,FULL MATCH,760
250581,FULL MATCH,760
250582,NO MATCH,
250583,FULL MATCH,649
250585,FULL MATCH,648
250586,FULL MATCH,648
250588,FULL MATCH,389
250590,FULL MATCH,380
250591,FULL MATCH,"380, 386"
250592,FULL MATCH,386
250593,FULL MATCH,386
250594,FULL MATCH,386
250595,FULL MATCH,386
250596,FULL MATCH,763
250597,FULL MATCH,383
250598,FULL MATCH,383
250599,FULL MATCH,383
250601,FULL MATCH,"375, 379"
250602,FULL MATCH,"375, 379"
250603,FULL MATCH,379
250604,FULL MATCH,379
250605,FULL MATCH,"379, 383"
250606,FULL MATCH,762
250607,FULL MATCH,"379, 762"
250608,FULL MATCH,379
250609,FULL MATCH,734
250610,FULL MATCH,734
250611,FULL MATCH,"375, 647"
250612,FULL MATCH,"375, 647"
250613,FULL MATCH,"375, 647"
